Error,Npoint,Pi,Nlance,tempsMilis,Nproc
1.8652543081e-04, 12000000, 3.1410066666666667, 0, 1140, 1
9.7656656745e-06, 12000000, 3.1416233333333334, 1, 910, 1
2.0201651193e-04, 12000000, 3.140958, 2, 1207, 1
2.8955173063e-04, 12000000, 3.140683, 3, 957, 1
1.7644561774e-04, 12000000, 3.1410383333333334, 4, 1258, 1
1.0547083812e-04, 12000000, 3.141924, 5, 925, 1
9.9210743692e-05, 12000000, 3.141904333333333, 6, 1114, 1
2.9019667540e-04, 12000000, 3.142504333333333, 7, 941, 1
1.4843434776e-04, 12000000, 3.1411263333333332, 8, 1223, 1
2.5433376156e-04, 12000000, 3.1423916666666667, 9, 1222, 1
2.0838270966e-04, 24000000, 3.140938, 0, 1051, 2
3.5873107923e-04, 24000000, 3.1404656666666666, 1, 994, 2
1.0324266892e-04, 24000000, 3.141917, 2, 1076, 2
5.2949706900e-05, 24000000, 3.141759, 3, 1161, 2
2.2165394658e-04, 24000000, 3.142289, 4, 1334, 2
1.4133375196e-04, 24000000, 3.142036666666667, 5, 1317, 2
4.5089738045e-05, 24000000, 3.141451, 6, 1741, 2
3.0961357846e-04, 24000000, 3.142565333333333, 7, 1945, 2
4.6689612472e-05, 24000000, 3.141739333333333, 8, 2071, 2
2.2164562158e-04, 24000000, 3.1408963333333335, 9, 1066, 2
9.0191963584e-05, 48000000, 3.141876, 0, 2164, 4
3.0260243597e-04, 48000000, 3.140642, 1, 1637, 4
4.0988119261e-04, 48000000, 3.1428803333333333, 2, 1066, 4
1.5607378503e-04, 48000000, 3.1411023333333334, 3, 1081, 4
7.9042792571e-05, 48000000, 3.1413443333333335, 4, 1083, 4
4.2876757919e-04, 48000000, 3.1429396666666665, 5, 2101, 4
2.0375995214e-05, 48000000, 3.1416566666666665, 6, 2759, 4
2.8063905382e-04, 48000000, 3.140711, 7, 1584, 4
2.5879009997e-04, 48000000, 3.142405666666667, 8, 1679, 4
1.3666520697e-04, 48000000, 3.142022, 9, 1426, 4
1.0949443835e-04, 96000000, 3.141248666666667, 0, 2556, 8
3.0408788210e-04, 96000000, 3.1406373333333333, 1, 1897, 8
3.0880221458e-05, 96000000, 3.1416896666666667, 2, 2982, 8
6.3241726553e-05, 96000000, 3.1417913333333334, 3, 3340, 8
1.4292530139e-04, 96000000, 3.1420416666666666, 4, 4338, 8
2.1145970522e-04, 96000000, 3.1409283333333335, 5, 2435, 8
1.0928223176e-04, 96000000, 3.141249333333333, 6, 3639, 8
2.5454596815e-04, 96000000, 3.1423923333333335, 7, 1545, 8
1.0068786483e-04, 96000000, 3.1412763333333333, 8, 4016, 8
1.4738163980e-04, 96000000, 3.142055666666667, 9, 3451, 8
