Error,Npoint,Pi,Nlance,tempsMilis,Nproc
1.0270382744e-04,12000000,3.14127,0,1534,1
2.1591604363e-04,12000000,3.1409143333333334,1,1265,1
7.6610741773e-05,12000000,3.1418333333333335,2,1207,1
4.1376122706e-05,12000000,3.1414626666666665,3,1535,1
1.9412740559e-05,12000000,3.141531666666667,4,1448,1
9.1783513015e-05,12000000,3.141881,5,1409,1
1.9502201943e-04,12000000,3.1422053333333335,6,1308,1
1.9739375442e-05,12000000,3.1416546666666667,7,1343,1
1.8409338001e-04,12000000,3.142171,8,1824,1
8.3401352678e-05,12000000,3.1418546666666667,9,1282,1
1.1861932175e-04,12000000,3.14122,0,1603,2
1.5289068617e-04,12000000,3.1411123333333335,1,1254,2
1.2446332800e-04,12000000,3.1419836666666665,2,1237,2
7.1305577003e-05,12000000,3.1418166666666667,3,1722,2
1.6434984207e-04,12000000,3.1410763333333334,4,1579,2
1.0281825574e-04,12000000,3.1419156666666668,5,2214,2
6.7159223487e-05,12000000,3.1413816666666667,6,1585,2
2.6790665837e-04,12000000,3.140751,7,2469,2
1.7856768365e-04,12000000,3.1410316666666667,8,1836,2
8.5205108700e-05,12000000,3.1418603333333333,9,1457,2
1.0429537687e-04,12000000,3.141265,0,2092,4
1.7114045297e-04,12000000,3.141055,1,2057,4
2.5559867611e-04,12000000,3.1407896666666666,2,3249,4
3.1296309643e-05,12000000,3.141494333333333,3,1793,4
6.8228581437e-05,12000000,3.141807,4,2101,4
2.6652731553e-04,12000000,3.1407553333333333,5,1814,4
2.2175172488e-04,12000000,3.140896,6,2676,4
3.5018249978e-05,12000000,3.1417026666666668,7,2826,4
1.8250183058e-04,12000000,3.142166,8,1791,4
4.4877531454e-05,12000000,3.1414516666666668,9,1769,4
3.9572366684e-05,12000000,3.1414683333333335,0,3672,8
1.5904467730e-04,12000000,3.141093,1,1932,8
1.0547083812e-04,12000000,3.141924,2,3972,8
7.2994904733e-05,12000000,3.1413633333333335,3,3810,8
2.5316662531e-04,12000000,3.142388,4,3389,8
4.0817521488e-04,12000000,3.1403103333333333,5,2269,8
1.6403985718e-04,12000000,3.142108,6,3648,8
1.9543810762e-04,12000000,3.140978666666667,7,3496,8
2.1857695101e-04,12000000,3.142279333333333,8,3297,8
2.5794127360e-04,12000000,3.142403,9,3775,8
NaN,0,NaN,0,0,1
NaN,0,NaN,1,0,1
NaN,0,NaN,2,0,1
NaN,0,NaN,3,0,1
NaN,0,NaN,4,0,1
NaN,0,NaN,5,1,1
NaN,0,NaN,6,0,1
NaN,0,NaN,7,0,1
NaN,0,NaN,8,0,1
NaN,0,NaN,9,0,1
3.3083423754e-04,2000000,3.142632,0,132,2
7.0898638232e-04,2000000,3.14382,1,154,2
3.5034891889e-04,2000000,3.140492,2,173,2
2.6462578121e-04,2000000,3.142424,3,138,2
4.7089058746e-04,2000000,3.143072,4,194,2
1.4366802446e-04,2000000,3.142044,5,126,2
3.5926159571e-04,2000000,3.140464,6,154,2
5.9608415103e-04,2000000,3.13972,7,234,2
1.2202295220e-04,2000000,3.141976,8,217,2
3.2319480027e-04,2000000,3.142608,9,226,2
2.9900324892e-04,8000000,3.142532,0,643,4
7.5396585458e-04,8000000,3.139224,1,620,4
2.0774608988e-04,8000000,3.14094,2,335,4
7.8474813611e-06,8000000,3.141568,3,580,4
3.9745878205e-04,8000000,3.140344,4,581,4
6.0686922468e-05,8000000,3.141402,5,602,4
4.3333002089e-04,8000000,3.142954,6,602,4
7.3419317915e-05,8000000,3.141362,7,323,4
2.5867567167e-04,8000000,3.14078,8,429,4
2.7545231821e-06,8000000,3.141584,9,363,4
4.1911217931e-04,24000000,3.1429093333333333,0,912,8
6.3894988237e-04,24000000,3.1395853333333332,1,1012,8
4.0594704568e-04,24000000,3.1403173333333334,2,1081,8
3.9492062796e-04,24000000,3.1428333333333334,3,1048,8
7.0236219053e-05,24000000,3.141372,4,1059,8
3.6944751207e-04,24000000,3.140432,5,649,8
4.2505396385e-04,24000000,3.142928,6,993,8
4.0256006523e-04,24000000,3.142857333333333,7,1011,8
1.1268586221e-04,24000000,3.1419466666666667,8,1047,8
5.4541256331e-05,24000000,3.141764,9,931,8
