Error,Npoint,Pi,Nlance,tempsMilis,Nproc
1.6768483170e-05,15000000,3.1416453333333334,0,546,1
1.0393462567e-04,15000000,3.141266133333333,1,474,1
6.8538566327e-05,15000000,3.1413773333333332,2,481,1
2.6869516892e-05,15000000,3.1416770666666665,3,483,1
2.1686697241e-06,15000000,3.1415994666666665,4,482,1
9.4003357222e-05,15000000,3.141297333333333,5,484,1
6.1331867236e-05,15000000,3.1417853333333334,6,486,1
1.1989256130e-04,15000000,3.141216,7,484,1
8.8485985861e-05,15000000,3.1413146666666667,8,486,1
7.4225702960e-05,15000000,3.1413594666666667,9,481,1
2.4399930059e-04,15000000,3.1423592,10,483,1
2.4527254013e-04,15000000,3.1423632,11,479,1
1.1089500185e-04,15000000,3.1412442666666665,12,480,1
3.6622695072e-05,15000000,3.1414776,13,486,1
9.7067457125e-05,15000000,3.1418976,14,483,1
1.6752004527e-04,15000000,3.1421189333333333,15,483,1
8.2807174224e-05,15000000,3.1418528,16,482,1
2.0588699688e-04,15000000,3.1422394666666666,17,490,1
4.4521759084e-06,15000000,3.1415786666666667,18,481,1
2.2702277332e-04,15000000,3.142305866666667,19,483,1
8.1525609683e-05,15000000,3.1413365333333334,20,480,1
1.8203162992e-05,15000000,3.141535466666667,21,480,1
2.2523191297e-04,15000000,3.140885066666667,22,485,1
3.9933117888e-05,15000000,3.1414672,23,484,1
1.0699040058e-04,15000000,3.1412565333333333,24,480,1
7.8902572954e-05,15000000,3.1418405333333332,25,478,1
2.6012365533e-05,15000000,3.1415109333333335,26,480,1
2.2506214769e-04,15000000,3.1408856,27,480,1
4.8090175971e-05,15000000,3.141743733333333,28,478,1
1.8908023489e-04,15000000,3.1421866666666665,29,483,1
6.9981571144e-05,15000000,3.1413728,30,478,1
1.5300511446e-04,15000000,3.1420733333333333,31,482,1
1.1284730248e-04,15000000,3.1412381333333332,32,481,1
3.3065949343e-05,15000000,3.1416965333333335,33,481,1
2.3126355898e-05,15000000,3.14152,34,482,1
1.5732580391e-04,15000000,3.1410984,35,482,1
7.4225702960e-05,15000000,3.1413594666666667,36,482,1
1.0486833467e-04,15000000,3.1412632,37,482,1
1.2100436057e-04,15000000,3.1419728,38,482,1
6.2520224145e-05,15000000,3.1417890666666666,39,478,1
3.6461254796e-05,15000000,3.1417072,40,482,1
5.8267767333e-05,15000000,3.1414096,41,484,1
5.8951807259e-06,15000000,3.141574133333333,42,483,1
