Error,Npoint,Pi,Nlance,tempsMilis,Nproc
6.9820130868e-05,15000000,3.141812,0,1422,1
1.8602445998e-04,15000000,3.1421770666666666,1,1171,1
1.1056379630e-04,15000000,3.14194,2,1344,1
1.4340505156e-04,15000000,3.141142133333333,3,1453,1
6.1246984600e-05,15000000,3.1417850666666665,4,1484,1
4.2912335156e-05,15000000,3.1417274666666666,5,1499,1
6.3199285235e-05,15000000,3.1417912,6,1390,1
1.4069713219e-04,15000000,3.1420346666666665,7,1438,1
3.2378563256e-05,15000000,3.1414909333333334,8,1391,1
1.2592755347e-04,15000000,3.1419882666666665,9,1329,1
1.8076173653e-04,15000000,3.142160533333333,10,1265,1
1.0342532985e-04,15000000,3.141267733333333,11,1438,1
9.4685764474e-06,15000000,3.1416224,12,1453,1
1.0445224648e-04,15000000,3.1419208,13,1297,1
1.3115183647e-06,15000000,3.1415885333333335,14,1109,1
9.6300167236e-06,15000000,3.1415624,15,1250,1
3.2887859074e-05,15000000,3.1414893333333334,16,1547,1
1.6055966909e-04,15000000,3.1420970666666665,17,1453,1
1.0631133949e-04,15000000,3.141258666666667,18,1281,1
1.4867610001e-04,15000000,3.1420597333333333,19,1375,1
2.5036549831e-04,15000000,3.1423792,20,1422,1
6.7528299687e-05,15000000,3.1418048,21,1234,1
2.5647704813e-04,15000000,3.1423984,22,1109,1
3.9254056798e-05,15000000,3.1414693333333332,23,1093,1
1.0682896030e-04,15000000,3.1419282666666666,24,1218,1
7.5846798046e-05,15000000,3.1418309333333334,25,1047,1
1.4944004373e-04,15000000,3.1420621333333334,26,1031,1
2.7362334066e-04,15000000,3.1424522666666665,27,1125,1
1.4552711747e-04,15000000,3.141135466666667,28,1203,1
1.1676022875e-04,15000000,3.1419594666666666,29,1250,1
1.0656598740e-04,15000000,3.141257866666667,30,1336,1
1.9407998544e-04,15000000,3.1409829333333334,31,1406,1
9.2398912128e-05,15000000,3.141882933333333,32,1312,1
6.8623448963e-05,15000000,3.1413770666666667,33,1375,1
1.2898332838e-04,15000000,3.141997866666667,34,1281,1
2.8728609895e-05,15000000,3.1415024,35,1204,1
8.8710518320e-07,15000000,3.1415898666666666,36,1375,1
2.5520380858e-04,15000000,3.1423944,37,1360,1
7.9323639974e-06,15000000,3.1415677333333334,38,1327,1
4.8849140863e-06,15000000,3.141608,39,1234,1
2.3414458978e-04,15000000,3.140857066666667,40,1500,1
3.4933367342e-05,15000000,3.1417024,41,1265,1
5.6909645151e-05,15000000,3.141413866666667,42,1203,1
1.3118529809e-05,15000000,3.1416338666666666,43,1218,1
1.6752004527e-04,15000000,3.1421189333333333,44,1157,1
3.7479846432e-05,15000000,3.1417104,45,1297,1
6.7523320853e-06,15000000,3.141613866666667,46,1407,1
5.7002852784e-05,15000000,3.1417717333333335,47,1312,1
2.3805416988e-05,15000000,3.1415178666666668,48,1234,1
2.3720534352e-05,15000000,3.1415181333333333,49,1172,1
8.6448802589e-05,15000000,3.141321066666667,0,1203,2
1.1216824139e-04,15000000,3.141240266666667,1,2344,2
5.0034151610e-05,15000000,3.1414354666666666,2,2171,2
3.3219235972e-04,15000000,3.1426362666666665,3,1312,2
3.2471770889e-05,15000000,3.1416946666666665,4,1906,2
1.0427415622e-04,15000000,3.1412650666666666,5,1281,2
8.2968614501e-05,15000000,3.141332,6,1687,2
9.2229146855e-05,15000000,3.1418824,7,1422,2
3.2827943345e-04,15000000,3.1405613333333333,8,1516,2
2.9313802202e-04,15000000,3.1406717333333334,9,1672,2
1.7150952917e-04,15000000,3.1421314666666667,10,1625,2
2.4238155166e-05,15000000,3.1416688,11,1438,2
3.9322297523e-04,15000000,3.142828,12,1625,2
3.3736685437e-05,15000000,3.1414866666666668,13,1531,2
3.6537812436e-05,15000000,3.1414778666666665,14,1858,2
9.9690493855e-05,15000000,3.1412794666666666,15,1500,2
2.5596775231e-04,15000000,3.1423968,16,2219,2
4.4686545522e-05,15000000,3.1414522666666667,17,1484,2
1.6386176691e-04,15000000,3.1410778666666666,18,2515,2
1.5231772837e-04,15000000,3.1411141333333332,19,2593,2
1.1030082339e-04,15000000,3.1412461333333335,20,1437,2
5.7936561784e-05,15000000,3.1417746666666666,21,2249,2
4.9439973156e-05,15000000,3.141437333333333,22,1672,2
1.2456110630e-04,15000000,3.1412013333333335,23,1515,2
1.6089422080e-05,15000000,3.1416432,24,1516,2
3.4585511800e-05,15000000,3.141484,25,2468,2
7.0584074595e-05,15000000,3.1418144,26,1505,2
2.1258937899e-05,15000000,3.1415258666666666,27,1422,2
1.1701487666e-04,15000000,3.1419602666666666,28,2703,2
7.2533029069e-06,15000000,3.1415698666666665,29,1359,2
2.3142834542e-04,15000000,3.1408656,30,1718,2
1.9628693398e-04,15000000,3.140976,31,1484,2
1.3118529809e-05,15000000,3.1416338666666666,32,2578,2
1.5885369137e-04,15000000,3.1410936,33,1813,2
3.1453179253e-05,15000000,3.141691466666667,34,1530,2
9.5624452308e-05,15000000,3.1418930666666665,35,1266,2
2.0808562043e-04,15000000,3.1409389333333335,36,1876,2
7.5414059868e-05,15000000,3.1413557333333335,37,2359,2
4.2140066433e-05,15000000,3.1414602666666664,38,1578,2
1.0656598740e-04,15000000,3.141257866666667,39,1656,2
8.6796658131e-05,15000000,3.1418653333333335,40,1594,2
1.1836965268e-05,15000000,3.1415554666666665,41,2906,2
1.7812204981e-04,15000000,3.1410330666666666,42,1422,2
1.3789600519e-04,15000000,3.1420258666666667,43,1703,2
1.0682896030e-04,15000000,3.1419282666666666,44,1484,2
7.7204920227e-05,15000000,3.1418352,45,1468,2
1.2949262420e-04,15000000,3.141999466666667,46,1578,2
1.5859904346e-04,15000000,3.1410944,47,1532,2
1.5716436364e-04,15000000,3.1420864,48,1393,2
2.8015930366e-04,15000000,3.1424728,49,2655,2
3.7649611704e-05,15000000,3.1417109333333335,0,1640,4
1.6930258063e-04,15000000,3.1421245333333334,1,1861,4
1.9298483616e-04,15000000,3.1421989333333333,2,3156,4
4.6723728794e-05,15000000,3.1414458666666665,3,1735,4
1.5744912699e-06,15000000,3.1415976,4,3515,4
1.6555941964e-04,15000000,3.1410725333333334,5,1750,4
9.8162606401e-05,15000000,3.1412842666666667,6,1452,4
7.7621008413e-05,15000000,3.1413488,7,3390,4
2.4233176331e-06,15000000,3.1416002666666665,8,1578,4
2.9449614420e-04,15000000,3.1406674666666667,9,3875,4
3.4263292399e-04,15000000,3.1426690666666666,10,1749,4
1.5147722700e-04,15000000,3.142068533333333,11,3562,4
4.2824106359e-06,15000000,3.1415792,12,3938,4
2.1419717024e-04,15000000,3.1409197333333334,13,1813,4
7.7960538958e-05,15000000,3.1413477333333333,14,4468,4
1.4896086337e-06,15000000,3.1415973333333334,15,3657,4
1.0011490704e-04,15000000,3.1412781333333335,16,3844,4
1.5020398746e-04,15000000,3.1420645333333335,17,1656,4
1.0445224648e-04,15000000,3.1419208,18,1312,4
6.9137723615e-06,15000000,3.1415709333333335,19,4516,4
7.5668707777e-05,15000000,3.1413549333333335,20,2045,4
5.0967860609e-05,15000000,3.1414325333333335,21,3875,4
1.6089422080e-05,15000000,3.1416432,22,1718,4
1.0800899221e-04,15000000,3.1412533333333332,23,3564,4
1.0971496994e-04,15000000,3.1419373333333334,24,1562,4
4.6816936426e-05,15000000,3.1417397333333335,25,1906,4
2.6759667348e-04,15000000,3.1424333333333334,26,1578,4
1.0419759858e-04,15000000,3.14192,27,4157,4
2.5596277347e-05,15000000,3.141673066666667,28,1719,4
6.3279189037e-06,15000000,3.1416125333333333,29,4421,4
5.8360974965e-05,15000000,3.141776,30,1765,4
1.2922965129e-04,15000000,3.1411866666666666,31,4375,4
1.8694984399e-04,15000000,3.141005333333333,32,1718,4
1.1591140239e-04,15000000,3.1419568,33,3374,4
3.2217122980e-05,15000000,3.1416938666666665,34,1750,4
1.1404398439e-04,15000000,3.1419509333333333,35,3172,4
3.0536112165e-04,15000000,3.140633333333333,36,2531,4
7.1733991051e-07,15000000,3.1415904,37,1673,4
1.4977124928e-04,15000000,3.1411221333333335,38,1594,4
1.2821105966e-04,15000000,3.1411898666666667,39,3796,4
1.2142877375e-04,15000000,3.1419741333333335,40,3128,4
2.7628481784e-06,15000000,3.1416013333333335,41,1346,4
7.2018754416e-05,15000000,3.1413664,42,3875,4
