Error,Npoint,Pi,Nlance,tempsMilis,Nproc
9.0276846220e-05,15000000,3.141876266666667,0,550,1
1.0580204367e-04,15000000,3.1412602666666665,1,543,1
1.8789187798e-04,15000000,3.1421829333333333,2,572,1
2.3117369751e-04,15000000,3.1408664,3,578,1
1.0521619021e-04,15000000,3.1419232,4,573,1
1.4408411265e-04,15000000,3.14114,0,299,2
4.3672932721e-06,15000000,3.1415789333333333,1,298,2
7.5761915410e-05,15000000,3.141830666666667,2,297,2
2.2091122351e-04,15000000,3.1422866666666667,3,297,2
1.7006652436e-04,15000000,3.1421269333333335,4,295,2
2.3525638905e-04,15000000,3.142331733333333,0,173,4
9.7568427947e-05,15000000,3.1412861333333333,1,173,4
8.1865140228e-05,15000000,3.141335466666667,2,186,4
9.7313780038e-05,15000000,3.1412869333333333,3,187,4
4.5535371885e-05,15000000,3.1414496,4,297,4
3.5943633981e-05,15000000,3.1414797333333335,0,174,8
8.1279286770e-05,15000000,3.141848,1,180,8
7.2867580779e-05,15000000,3.1413637333333333,2,161,8
1.0249994585e-04,15000000,3.1419146666666666,3,165,8
8.9258254584e-05,15000000,3.1418730666666668,4,145,8
6.7440070890e-06,15000000,3.1415714666666665,0,179,16
1.3279472202e-04,15000000,3.1411754666666667,1,595,16
3.5527545796e-05,15000000,3.141704266666667,2,190,16
4.4185574700e-05,15000000,3.1417314666666667,3,171,16
1.4222004081e-05,15000000,3.141637333333333,4,174,16
9.2815000313e-05,15000000,3.1413010666666668,0,229,32
3.0091710911e-06,15000000,3.1415832,1,227,32
2.3465886443e-05,15000000,3.1415189333333333,2,215,32
8.3486235315e-05,15000000,3.141854933333333,3,228,32
1.0182088476e-04,15000000,3.1419125333333335,4,210,32
1.3975509820e-04,15000000,3.1411536,0,336,64
1.4043913812e-05,15000000,3.1415485333333333,1,338,64
2.7710018259e-05,15000000,3.1415056,2,345,64
1.1387421912e-04,15000000,3.1419504,3,323,64
5.3010022716e-06,15000000,3.141576,4,325,64
