Error,Npoint,Pi,Nlance,tempsMilis,Nproc
9.7067457125e-05,15000000,3.1418976,0,1796,1
2.4543398041e-04,15000000,3.1408216,1,1507,1
5.2325982790e-05,15000000,3.141428266666667,2,1656,1
2.4832333620e-05,15000000,3.1416706666666667,3,1794,1
4.0951709524e-05,15000000,3.141464,4,1621,1
7.7629333409e-05,15000000,3.141836533333333,5,1656,1
3.7089051688e-04,15000000,3.1404274666666665,6,1655,1
8.2552526315e-05,15000000,3.141852,7,1510,1
1.2193806957e-04,15000000,3.141975733333333,8,1819,1
1.3781112256e-04,15000000,3.1420256,9,1791,1
8.2459318683e-05,15000000,3.1413336,10,1801,1
2.1199854670e-04,15000000,3.1422586666666668,11,1519,1
6.7867830232e-05,15000000,3.1418058666666666,12,1696,1
3.0773783546e-04,15000000,3.140625866666667,13,1699,1
3.0943883435e-05,15000000,3.141689866666667,14,1537,1
8.0222254693e-07,15000000,3.141590133333333,15,1509,1
1.4298896337e-04,15000000,3.1420418666666667,16,1479,1
1.2184820809e-05,15000000,3.1416309333333334,17,1701,1
8.8231337952e-05,15000000,3.1413154666666667,18,1735,1
5.9888862419e-05,15000000,3.1417808,19,1461,1
1.2040185712e-04,15000000,3.1412144,20,1632,1
1.2363572229e-04,15000000,3.1419810666666668,21,1599,1
1.3882138920e-04,15000000,3.141156533333333,22,1606,1
1.6598717898e-05,15000000,3.1416448,23,1377,1
2.8040562657e-04,15000000,3.140711733333333,24,1707,1
4.8251616247e-05,15000000,3.141441066666667,25,1609,1
4.2824106359e-06,15000000,3.1415792,26,1555,1
4.6638846157e-05,15000000,3.1414461333333334,27,1680,1
3.9254056798e-05,15000000,3.1414693333333332,28,1798,1
2.0885788915e-04,15000000,3.1422488,29,1688,1
3.2598760227e-04,15000000,3.1405685333333335,30,1479,1
9.0107080947e-05,15000000,3.1418757333333334,31,1893,1
2.4149926369e-06,15000000,3.1415850666666665,32,1787,1
8.4335061678e-05,15000000,3.1418576,33,1605,1
5.7164293060e-05,15000000,3.141413066666667,34,1500,1
1.0155791185e-04,15000000,3.1412736,35,1523,1
7.1684202705e-06,15000000,3.1415701333333335,36,1803,1
3.0264822345e-05,15000000,3.1416877333333333,37,1456,1
4.0357531070e-05,15000000,3.1414658666666666,38,1830,1
1.4553209630e-05,15000000,3.1415469333333332,39,1479,1
9.9435845946e-05,15000000,3.1412802666666666,40,1595,1
1.1259265457e-04,15000000,3.1412389333333333,41,1568,1
1.1557187184e-04,15000000,3.1419557333333334,42,1700,1
3.0350202864e-04,15000000,3.1425461333333335,43,1565,1
1.0139312542e-05,15000000,3.1415608,44,1568,1
9.3332621127e-05,15000000,3.1418858666666667,45,1545,1
5.6323791694e-05,15000000,3.1417696,46,1644,1
1.5215628809e-04,15000000,3.1420706666666667,47,1612,1
4.6269200156e-07,15000000,3.1415912,48,1592,1
4.0357531070e-05,15000000,3.1414658666666666,49,1701,1
1.4222004081e-05,15000000,3.141637333333333,0,1842,2
3.4713170371e-04,15000000,3.1426832,1,2246,2
6.6161852510e-05,15000000,3.1413848,2,1729,2
6.6339942779e-05,15000000,3.1418010666666665,3,1965,2
1.4824336183e-04,15000000,3.141126933333333,4,1807,2
5.0882977973e-05,15000000,3.1414328,5,1833,2
1.3670764828e-04,15000000,3.142022133333333,6,1959,2
6.4727172689e-05,15000000,3.141796,7,2321,2
4.2293189794e-04,15000000,3.1429213333333332,8,2755,2
2.4951667195e-04,15000000,3.1423765333333336,9,2897,2
7.2528050234e-05,15000000,3.1413648,10,1874,2
8.8146455316e-05,15000000,3.1413157333333332,11,2477,2
1.8509075098e-04,15000000,3.1421741333333335,12,1781,2
5.3268016786e-05,15000000,3.14176,13,2996,2
3.5773868709e-05,15000000,3.1414802666666666,14,1908,2
1.2219271747e-04,15000000,3.141976533333333,15,1899,2
1.6310614818e-04,15000000,3.142105066666667,16,2828,2
2.6614868983e-05,15000000,3.141676266666667,17,2092,2
1.9663478952e-04,15000000,3.1422104,18,2066,2
6.4128015399e-06,15000000,3.1416128,19,1543,2
9.7997819963e-06,15000000,3.1415618666666667,20,1637,2
9.6643043943e-05,15000000,3.1418962666666665,21,2305,2
1.3246351647e-04,15000000,3.1420088,22,2016,2
1.6496524118e-04,15000000,3.1410744,23,1889,2
1.2266357284e-06,15000000,3.1415888,24,2704,2
2.4314712806e-05,15000000,3.1415162666666667,25,1812,2
5.4371491058e-05,15000000,3.1417634666666667,26,1854,2
1.2346261086e-05,15000000,3.1415538666666665,27,2243,2
1.1539378157e-04,15000000,3.1412301333333335,28,1925,2
5.1909894605e-05,15000000,3.1417557333333335,29,2214,2
7.1857314139e-05,15000000,3.1418184,30,1762,2
6.4124669238e-05,15000000,3.1413912,31,1998,2
1.4859121737e-04,15000000,3.142059466666667,32,1941,2
4.9108767607e-05,15000000,3.141746933333333,33,2351,2
3.0341714601e-04,15000000,3.1425458666666666,34,2154,2
1.2863881900e-05,15000000,3.1416330666666665,35,2016,2
1.3148645262e-07,15000000,3.1415930666666667,36,1990,2
1.9942759153e-04,15000000,3.1409661333333334,37,2146,2
1.9824258078e-05,15000000,3.1416549333333332,38,2121,2
8.9844108042e-05,15000000,3.1413104,39,2783,2
2.5766042620e-05,15000000,3.1416736,40,2560,2
2.5766042620e-05,15000000,3.1416736,41,2183,2
7.7705891049e-05,15000000,3.1413485333333333,42,2791,2
1.6353056136e-04,15000000,3.1421064,43,1872,2
3.1707827162e-05,15000000,3.1416922666666665,44,1949,2
1.2940439540e-05,15000000,3.141552,45,2162,2
6.5228143510e-05,15000000,3.1413877333333335,46,1893,2
4.4601662886e-05,15000000,3.141452533333333,47,1773,2
2.4908891260e-05,15000000,3.1415144,48,1927,2
8.6626892858e-05,15000000,3.1418648,49,1722,2
1.5928642954e-04,15000000,3.142093066666667,0,3460,4
3.4262459899e-04,15000000,3.140516266666667,1,2027,4
8.1870119063e-06,15000000,3.1415669333333334,2,3028,4
2.0036130053e-04,15000000,3.1409632,3,3717,4
7.4313931757e-06,15000000,3.141616,4,2179,4
9.8587019583e-05,15000000,3.141282933333333,5,4004,4
2.2395867342e-04,15000000,3.1408890666666665,6,3039,4
1.8465801281e-04,15000000,3.1410125333333334,7,2067,4
6.8971304505e-05,15000000,3.1418093333333332,8,2017,4
3.1877592435e-05,15000000,3.1416928,9,4237,4
4.6723728794e-05,15000000,3.1414458666666665,10,2335,4
1.1124285739e-04,15000000,3.1419421333333335,11,2245,4
1.2355083966e-04,15000000,3.1419808,12,4178,4
9.9945141764e-05,15000000,3.1412786666666666,13,1971,4
9.2051056586e-05,15000000,3.141303466666667,14,4301,4
3.8922851249e-05,15000000,3.141714933333333,15,1875,4
1.0861149566e-04,15000000,3.1419338666666667,16,2912,4
7.4989646687e-05,15000000,3.1413570666666666,17,2055,4
4.8854119698e-05,15000000,3.141746133333333,18,3066,4
1.7905575881e-04,15000000,3.1410301333333335,19,2075,4
1.8695816898e-04,15000000,3.14218,20,1896,4
5.6060818788e-05,15000000,3.1414165333333335,21,2242,4
1.0036955495e-04,15000000,3.1412773333333335,22,2281,4
3.2981066707e-05,15000000,3.1416962666666666,23,3378,4
1.2389037020e-04,15000000,3.141981866666667,24,4392,4
1.2269368830e-04,15000000,3.1412072,25,2575,4
1.5614577200e-04,15000000,3.1420832,26,3590,4
1.6675275538e-05,15000000,3.1415402666666665,27,3928,4
6.6085294870e-05,15000000,3.1418002666666665,28,5047,4
7.0499191958e-05,15000000,3.1418141333333334,29,2741,4
5.2410865427e-05,15000000,3.141428,30,2641,4
7.7883981318e-05,15000000,3.141837333333333,31,3185,4
1.7268956109e-04,15000000,3.141050133333333,32,3655,4
5.7164293060e-05,15000000,3.141413066666667,33,2080,4
5.8098002060e-05,15000000,3.1414101333333333,34,4028,4
6.7519974691e-05,15000000,3.1413805333333333,35,3335,4
8.1780257592e-05,15000000,3.1413357333333334,36,2071,4
1.2855059020e-04,15000000,3.1411888,37,2603,4
4.5458814245e-05,15000000,3.141735466666667,38,1998,4
4.2055183796e-05,15000000,3.1414605333333334,39,3535,4
3.4389783853e-04,15000000,3.1405122666666667,40,3908,4
1.0623478185e-04,15000000,3.1419264,41,3906,4
2.1827153679e-04,15000000,3.1409069333333335,42,2431,4
3.8278820064e-08,15000000,3.141592533333333,43,4349,4
1.7991291017e-04,15000000,3.1421578666666665,44,3927,4
4.0357531070e-05,15000000,3.1414658666666666,45,2379,4
2.4662568348e-05,15000000,3.1416701333333332,46,2403,4
3.0940537274e-06,15000000,3.1415829333333334,47,2847,4
9.1125672583e-05,15000000,3.1418789333333335,48,2081,4
1.7362661625e-05,15000000,3.1416472,49,2599,4
1.3602026220e-04,15000000,3.1411653333333334,0,5554,8
1.0291603403e-04,15000000,3.1412693333333332,1,4048,8
4.4100692064e-05,15000000,3.1417312,2,4804,8
1.0546251312e-04,15000000,3.1412613333333335,3,5360,8
4.3795612457e-04,15000000,3.1429685333333333,4,4279,8
1.0317900694e-04,15000000,3.1419168,5,4231,8
1.6480380091e-04,15000000,3.1421104,6,5542,8
1.3347378311e-04,15000000,3.141173333333333,7,5553,8
2.7761282457e-04,15000000,3.1424648,8,5454,8
3.3125032572e-04,15000000,3.140552,9,2715,8
7.6865389682e-05,15000000,3.1418341333333335,10,2767,8
1.2965406447e-04,15000000,3.1411853333333335,11,5522,8
5.5636405607e-05,15000000,3.1414178666666666,12,4556,8
3.6877342981e-05,15000000,3.1414768,13,5118,8
6.5406233779e-05,15000000,3.1417981333333334,14,3163,8
8.9589460133e-05,15000000,3.1413112,15,5473,8
1.3416116920e-04,15000000,3.1420141333333333,16,5299,8
2.3805416988e-05,15000000,3.1415178666666668,17,5425,8
1.8414871699e-04,15000000,3.1410141333333335,18,5406,8
7.4573558501e-05,15000000,3.1418269333333333,19,4480,8
5.0891302969e-05,15000000,3.1417525333333334,20,5208,8
1.1531722393e-04,15000000,3.1419549333333334,21,5156,8
1.7599998390e-04,15000000,3.1410397333333333,22,2983,8
5.4702696607e-05,15000000,3.1414208,23,2346,8
1.4214013701e-04,15000000,3.1420392,24,5283,8
2.2532177444e-05,15000000,3.141521866666667,25,5409,8
2.9730559619e-04,15000000,3.1425266666666665,26,5265,8
1.0173600212e-04,15000000,3.1419122666666666,27,4864,8
5.4278283426e-05,15000000,3.141422133333333,28,5446,8
8.1703699952e-05,15000000,3.1418493333333335,29,5194,8
9.7406987670e-05,15000000,3.1418986666666666,30,5389,8
1.6717218973e-04,15000000,3.1410674666666667,31,5308,8
1.3034145056e-04,15000000,3.1420021333333334,32,5325,8
1.4467829110e-04,15000000,3.1411381333333335,33,5468,8
3.8999408889e-05,15000000,3.1414701333333332,34,4175,8
8.3651021753e-06,15000000,3.1416189333333335,35,3937,8
6.1331867236e-05,15000000,3.1417853333333334,36,5115,8
4.5195841340e-05,15000000,3.1414506666666666,37,5616,8
1.8271403717e-04,15000000,3.1421666666666668,38,4323,8
3.4194553790e-04,15000000,3.1405184,39,4165,8
4.3676278883e-05,15000000,3.1417298666666666,40,5477,8
1.8440336490e-04,15000000,3.1410133333333334,41,5301,8
4.2827452519e-05,15000000,3.1417272,42,5283,8
8.1695374956e-05,15000000,3.141336,43,5149,8
9.8765109851e-05,15000000,3.1419029333333333,44,5274,8
1.5325478353e-05,15000000,3.1416408,45,5444,8
4.1554212975e-05,15000000,3.1417232,46,5410,8
1.0963008730e-04,15000000,3.141937066666667,47,4445,8
1.8550683917e-04,15000000,3.141009866666667,48,3008,8
6.0474715877e-05,15000000,3.1414026666666666,49,4836,8
8.0172466336e-06,15000000,3.141567466666667,0,6115,16
3.4508954160e-05,15000000,3.1417010666666667,1,6444,16
5.6060818788e-05,15000000,3.1414165333333335,2,5812,16
1.9994023350e-05,15000000,3.1416554666666667,3,5785,16
3.5052700916e-04,15000000,3.142693866666667,4,6372,16
1.4214013701e-04,15000000,3.1420392,5,6030,16
2.9246230709e-05,15000000,3.141684533333333,6,6532,16
3.0349704981e-05,15000000,3.141688,7,6457,16
2.2481582478e-04,15000000,3.1422989333333335,8,6505,16
9.0361728856e-05,15000000,3.1418765333333334,9,6201,16
6.9986549980e-06,15000000,3.1415706666666665,10,6006,16
2.0393469625e-04,15000000,3.1422333333333334,11,6041,16
1.2312642647e-04,15000000,3.1419794666666667,12,6012,16
2.4858296295e-04,15000000,3.1423736,13,6255,16
1.5122257909e-04,15000000,3.142067733333333,14,6128,16
1.1369612885e-04,15000000,3.1412354666666666,15,5883,16
1.5783509973e-04,15000000,3.1410968,16,6279,16
1.0147637538e-05,15000000,3.1416245333333332,17,6460,16
1.2736223329e-04,15000000,3.1411925333333333,18,6255,16
1.5639209491e-04,15000000,3.1411013333333333,19,6263,16
2.2718421360e-04,15000000,3.140878933333333,20,6705,16
1.9951247416e-04,15000000,3.140965866666667,21,5862,16
1.1956135575e-04,15000000,3.141968266666667,22,6315,16
5.1562039064e-05,15000000,3.1414306666666665,23,6041,16
8.5268770677e-05,15000000,3.1418605333333334,24,6280,16
1.2006730540e-05,15000000,3.1415549333333335,25,6167,16
4.2988892796e-05,15000000,3.1414576,26,6273,16
1.8458145517e-04,15000000,3.1421725333333335,27,6705,16
1.2855556904e-05,15000000,3.141552266666667,28,6846,16
2.5842600260e-05,15000000,3.1415114666666666,29,6290,16
6.7782947596e-05,15000000,3.1418056,30,6713,16
1.5766533446e-04,15000000,3.141097333333333,31,6645,16
3.6965571778e-06,15000000,3.1416042666666666,32,6369,16
2.4959322959e-04,15000000,3.1408085333333333,33,7106,16
3.9933117888e-05,15000000,3.1414672,34,6494,16
9.8926550128e-05,15000000,3.1412818666666666,35,6890,16
7.4734998778e-05,15000000,3.1413578666666666,36,7024,16
3.2039032711e-05,15000000,3.141492,37,6729,16
1.9441951598e-04,15000000,3.1409818666666665,38,6363,16
3.4670394437e-05,15000000,3.141483733333333,39,6238,16
5.5042227153e-05,15000000,3.141419733333333,40,6661,16
2.1089507242e-04,15000000,3.1422552,41,6327,16
3.7479846432e-05,15000000,3.1417104,42,6547,16
5.4116843149e-05,15000000,3.1417626666666667,43,6920,16
2.7065244839e-04,15000000,3.1424429333333332,44,7439,16
8.2459318683e-05,15000000,3.1413336,45,6410,16
2.8490440630e-04,15000000,3.1406976,46,6855,16
2.0851835861e-04,15000000,3.1422477333333334,47,6240,16
7.0745514871e-05,15000000,3.1413704,48,6866,16
8.7221071312e-05,15000000,3.1418666666666666,49,6628,16
6.7019003869e-05,15000000,3.1418032,0,7548,32
1.3254007411e-04,15000000,3.1411762666666667,1,7022,32
6.3114402599e-05,15000000,3.141790933333333,2,6220,32
8.5515093590e-05,15000000,3.141324,3,8768,32
1.0469856940e-04,15000000,3.1412637333333335,4,7486,32
1.3085074638e-04,15000000,3.1420037333333335,5,8097,32
1.7812204981e-04,15000000,3.1410330666666666,6,8401,32
1.4061224956e-04,15000000,3.1420344,7,8977,32
1.4197037174e-04,15000000,3.1420386666666666,8,7569,32
3.1020441075e-05,15000000,3.1414952,9,6537,32
9.8170931397e-05,15000000,3.1419010666666667,10,7277,32
6.6934121233e-05,15000000,3.1418029333333335,11,7203,32
1.1531722393e-04,15000000,3.1419549333333334,12,7222,32
8.3393027682e-05,15000000,3.1413306666666667,13,7994,32
4.0620503975e-05,15000000,3.141720266666667,14,7720,32
2.4832333620e-05,15000000,3.1416706666666667,15,6911,32
9.5115156490e-05,15000000,3.141891466666667,16,6963,32
1.3933901001e-04,15000000,3.1420304,17,6951,32
8.8316220588e-05,15000000,3.1413152,18,8193,32
6.9480600322e-05,15000000,3.1418109333333333,19,8398,32
2.4747450984e-05,15000000,3.1416704,20,8030,32
1.3891459683e-04,15000000,3.142029066666667,21,7195,32
