Error,Npoint,Pi,Nlance,tempsMilis,Nproc
9.4436095399e-05,12000000,3.1418893333333333,10,1081,1
2.4933858168e-04,12000000,3.1408093333333333,10,1114,1
5.0182696224e-05,12000000,3.141435,10,1145,1
2.0308586988e-04,12000000,3.142230666666667,10,988,1
1.7527848149e-04,12000000,3.141042,10,1019,1
7.2366609957e-05,12000000,3.14182,10,852,1
2.0804409261e-07,12000000,3.141592,10,1077,1
8.5629521882e-05,12000000,3.1418616666666668,10,1114,1
1.3751403333e-04,12000000,3.1420246666666665,10,1014,1
1.2296955686e-04,12000000,3.1412063333333333,10,1203,1
8.2128113134e-05,24000000,3.1418506666666666,10,1075,2
1.0800899221e-04,24000000,3.1412533333333332,10,1028,2
1.8041722715e-05,24000000,3.1416493333333335,10,1392,2
1.1035158971e-04,24000000,3.141939333333333,10,1430,2
1.2021087118e-04,24000000,3.141215,10,1245,2
1.7198927934e-04,24000000,3.141052333333333,10,1823,2
1.8678342488e-05,24000000,3.1416513333333334,10,1819,2
1.5919656807e-05,24000000,3.141642666666667,10,1052,2
1.1985509881e-05,24000000,3.141555,10,1160,2
7.8406172798e-05,24000000,3.1413463333333334,10,1383,2
5.9625889514e-05,48000000,3.141405333333333,10,1365,4
1.5593021925e-05,48000000,3.1415436666666667,10,1489,4
1.3973387754e-04,48000000,3.141153666666667,10,1897,4
1.0482589335e-04,48000000,3.1412633333333333,10,1474,4
2.5528036622e-04,48000000,3.1407906666666667,10,1681,4
1.0153669119e-04,48000000,3.1412736666666667,10,1508,4
7.9679412343e-05,48000000,3.1413423333333332,10,1485,4
2.5072624952e-04,48000000,3.1423803333333336,10,1725,4
1.7506627490e-04,48000000,3.141042666666667,10,1335,4
2.6557238587e-04,48000000,3.1407583333333333,10,1482,4
3.9686794976e-05,96000000,3.1417173333333333,10,4454,8
7.3109333025e-05,96000000,3.1418223333333333,10,3075,8
1.4228868162e-04,96000000,3.142039666666667,10,2117,8
1.7718834081e-04,96000000,3.141036,10,1913,8
5.6663322239e-05,96000000,3.1417706666666665,10,3518,8
2.3134680894e-05,96000000,3.1416653333333335,10,3403,8
1.2922965129e-04,96000000,3.1411866666666666,10,2897,8
2.4786146054e-04,96000000,3.142371333333333,10,2575,8
2.9581182506e-04,96000000,3.1406633333333334,10,3779,8
1.2308398516e-04,96000000,3.1419793333333335,10,2182,8
