Error,Npoint,Pi,Nlance,tempsMilis,Nproc
2.0553914134e-04,15000000,3.1409469333333333,0,535,1
7.7111712595e-05,15000000,3.1413504,1,530,1
1.1692999402e-04,15000000,3.14196,2,552,1
6.8878096872e-05,15000000,3.1413762666666667,3,552,1
1.7813037481e-04,15000000,3.142152266666667,4,551,1
2.6436778714e-05,15000000,3.1415096,5,552,1
1.4536567719e-04,15000000,3.1420493333333335,6,550,1
2.2344937760e-04,15000000,3.1408906666666665,7,550,1
1.9994023350e-05,15000000,3.1416554666666667,8,553,1
4.4779753155e-05,15000000,3.1417333333333333,9,551,1
1.0461368676e-04,15000000,3.141264,10,551,1
4.2904010159e-05,15000000,3.141457866666667,11,552,1
7.0575749598e-05,15000000,3.1413709333333335,12,551,1
4.1885418524e-05,15000000,3.1414610666666665,13,551,1
1.3118529809e-05,15000000,3.1416338666666666,14,551,1
2.2718421360e-04,15000000,3.140878933333333,15,551,1
8.8239662948e-05,15000000,3.1418698666666667,16,550,1
1.6022013854e-04,15000000,3.142096,17,550,1
2.6564437285e-04,15000000,3.1424272,18,550,1
1.4051904192e-04,15000000,3.1411512,19,550,1
1.6080599200e-04,15000000,3.141087466666667,20,551,1
3.5188015251e-05,15000000,3.1417032,21,550,1
5.0891302969e-05,15000000,3.1417525333333334,22,550,1
3.5612428433e-05,15000000,3.1417045333333333,23,550,1
2.3787942578e-04,15000000,3.1408453333333335,24,551,1
1.5987228300e-04,15000000,3.1410904,25,548,1
1.4047259974e-06,15000000,3.141597066666667,26,549,1
1.5657018518e-04,15000000,3.142084533333333,27,549,1
3.9092616522e-05,15000000,3.1417154666666667,28,549,1
1.4747941810e-04,15000000,3.141129333333333,29,552,1
4.6893494066e-05,15000000,3.1414453333333334,30,549,1
5.4617813971e-05,15000000,3.1414210666666667,31,551,1
1.3967854056e-04,15000000,3.142031466666667,32,553,1
1.6310614818e-04,15000000,3.142105066666667,33,552,1
1.7268956109e-04,15000000,3.141050133333333,34,551,1
2.4118984859e-04,15000000,3.140834933333333,35,554,1
4.4431897613e-05,15000000,3.1414530666666667,36,556,1
6.4888612965e-05,15000000,3.1413888,37,549,1
1.5325478353e-05,15000000,3.1416408,38,550,1
1.5690971573e-04,15000000,3.1420856,39,550,1
7.2358284961e-05,15000000,3.1413653333333333,40,551,1
8.4929240132e-05,15000000,3.141859466666667,41,549,1
4.4779753155e-05,15000000,3.1417333333333333,42,551,1
1.3287960465e-04,15000000,3.1411752,43,550,1
1.3143659984e-04,15000000,3.1411797333333333,44,552,1
2.9292672902e-07,15000000,3.141591733333333,45,548,1
1.2099938173e-05,15000000,3.1416306666666665,46,550,1
1.6531309672e-04,15000000,3.142112,47,551,1
3.7895934617e-05,15000000,3.1414736,48,553,1
3.4415746528e-05,15000000,3.141484533333333,49,551,1
4.9999433200e-01,15000000,1.5708141333333334,0,279,2
4.9999454421e-01,15000000,1.5708134666666667,1,278,2
4.9990630871e-01,15000000,1.5710906666666666,2,280,2
4.9994794364e-01,15000000,1.5709598666666666,3,278,2
5.0008180356e-01,15000000,1.5705393333333333,4,280,2
4.9999594477e-01,15000000,1.5708090666666668,5,280,2
4.9999496862e-01,15000000,1.5708121333333334,6,277,2
5.0002556881e-01,15000000,1.570716,7,280,2
5.0006627004e-01,15000000,1.5705881333333334,8,279,2
5.0009024938e-01,15000000,1.5705128,9,280,2
5.0003600938e-01,15000000,1.5706832,10,278,2
4.9998045369e-01,15000000,1.5708577333333333,11,279,2
4.9993342871e-01,15000000,1.5710054666666666,12,277,2
