Error,Npoint,Pi,Nlance,tempsMilis,Nproc
5.0976185606e-05,15000000,3.1417528,0,545,1
2.3381003807e-05,15000000,3.1415192,1,546,1
1.7100023336e-04,15000000,3.1421298666666666,2,624,1
2.8394058184e-06,15000000,3.1415837333333334,3,581,1
8.0515343044e-05,15000000,3.1418456,4,577,1
1.8559172181e-04,15000000,3.1410096,5,564,1
2.7285605077e-05,15000000,3.1415069333333334,6,562,1
1.9492881180e-04,15000000,3.140980266666667,7,561,1
1.2099938173e-05,15000000,3.1416306666666665,8,562,1
2.5078656533e-05,15000000,3.1415138666666667,9,562,1
1.7014806083e-05,15000000,3.1415392,10,567,1
4.8251616247e-05,15000000,3.141441066666667,11,568,1
6.5830646961e-05,15000000,3.141799466666667,12,562,1
1.3857506628e-04,15000000,3.142028,13,562,1
5.2410865427e-05,15000000,3.141428,14,561,1
1.5155378464e-04,15000000,3.1411165333333333,15,560,1
1.2974727211e-04,15000000,3.142000266666667,16,558,1
6.4633965056e-05,15000000,3.1413896,17,559,1
1.2897500338e-04,15000000,3.1411874666666666,18,556,1
2.4849808031e-04,15000000,3.1423733333333335,19,557,1
1.4841312710e-04,15000000,3.1411264,20,560,1
5.7254154532e-06,15000000,3.1415746666666666,21,559,1
1.2099938173e-05,15000000,3.1416306666666665,22,561,1
1.6589895018e-04,15000000,3.141071466666667,23,562,1
2.9059986792e-04,15000000,3.1425056,24,574,1
1.3355866574e-04,15000000,3.1411730666666666,0,282,2
4.2058529957e-06,15000000,3.1416058666666666,1,288,2
1.1123453239e-04,15000000,3.1412432,2,284,2
1.2966238947e-04,15000000,3.142,3,286,2
9.2229146855e-05,15000000,3.1418824,4,290,2
6.5992087237e-05,15000000,3.1413853333333335,5,285,2
2.8583811529e-04,15000000,3.1406946666666666,6,283,2
7.4743323774e-05,15000000,3.141827466666667,7,283,2
1.1335659830e-04,15000000,3.141236533333333,8,317,2
1.7702192170e-05,15000000,3.1416482666666665,9,283,2
3.3651802801e-05,15000000,3.1414869333333333,10,285,2
2.2285854531e-05,15000000,3.1416626666666665,11,292,2
4.2742569883e-05,15000000,3.1417269333333335,12,282,2
9.0446611492e-05,15000000,3.1418768,13,292,2
6.1581536310e-06,15000000,3.141612,14,282,2
9.6643043943e-05,15000000,3.1418962666666665,15,283,2
1.2804129438e-04,15000000,3.1411904,16,286,2
4.1126453632e-06,15000000,3.1415797333333333,17,288,2
7.1772431503e-05,15000000,3.1418181333333335,18,292,2
5.4957344516e-05,15000000,3.14142,19,286,2
3.4254306252e-05,15000000,3.1417002666666667,20,286,2
1.3823553574e-04,15000000,3.1420269333333333,21,284,2
2.5935473276e-04,15000000,3.140777866666667,22,412,2
1.8831629116e-04,15000000,3.142184266666667,23,314,2
2.2345770260e-04,15000000,3.1422946666666665,24,288,2
7.9666516680e-05,15000000,3.1418429333333333,0,142,4
1.0682063531e-04,15000000,3.141257066666667,1,142,4
9.2144264219e-05,15000000,3.1418821333333335,2,144,4
1.2745544093e-04,15000000,3.1419930666666667,3,148,4
2.0011497761e-04,15000000,3.1422213333333335,4,152,4
3.1581001091e-04,15000000,3.1425848,5,143,4
1.4757262573e-04,15000000,3.1420562666666667,6,143,4
4.2403039338e-05,15000000,3.1417258666666665,7,147,4
