Error,Npoint,Pi,Nlance,tempsMilis,Nproc
5.6488578131e-06,15000000,3.1416104,0,492,1
3.9678469979e-05,15000000,3.141468,1,505,1
2.3287135023e-04,15000000,3.1408610666666665,2,501,1
5.5589963412e-07,15000000,3.1415944,3,484,1
2.7545231821e-06,15000000,3.141584,4,484,1
1.3560417401e-04,15000000,3.1420186666666665,5,484,1
2.0503817052e-04,15000000,3.1422368,6,469,1
2.3296121170e-05,15000000,3.141519466666667,7,485,1
7.5923355686e-05,15000000,3.1413541333333335,8,468,1
9.6300167236e-06,15000000,3.1415624,9,485,1
1.6276661763e-04,15000000,3.142104,10,468,1
3.8320347798e-05,15000000,3.141472266666667,11,469,1
2.4823510741e-04,15000000,3.1408128,12,484,1
2.1606793440e-05,15000000,3.1416605333333334,13,469,1
1.5071328328e-04,15000000,3.1420661333333335,14,469,1
1.5520373801e-04,15000000,3.1411050666666664,15,484,1
1.0232520174e-05,15000000,3.1416248,16,485,1
1.1531722393e-04,15000000,3.1419549333333334,17,468,1
9.6383417199e-06,15000000,3.141622933333333,18,485,1
1.4434708555e-04,15000000,3.1420461333333334,19,484,1
5.3777312604e-05,15000000,3.1417616,20,468,1
1.6598717898e-05,15000000,3.1416448,21,469,1
5.5042227153e-05,15000000,3.141419733333333,22,484,1
3.1962475071e-05,15000000,3.1416930666666665,23,469,1
5.3942099041e-06,15000000,3.1416096,24,484,1
1.2550314029e-04,15000000,3.1419869333333335,25,485,1
2.1598468444e-05,15000000,3.1415248,26,468,1
1.1277074484e-04,15000000,3.141946933333333,27,485,1
1.8279891980e-04,15000000,3.1421669333333333,28,469,1
1.5410360989e-05,15000000,3.1416410666666668,29,469,1
1.3755647465e-04,15000000,3.1420248,30,484,1
2.3041473262e-05,15000000,3.141520266666667,31,469,1
2.5732587449e-04,15000000,3.142401066666667,32,484,1
5.3862195240e-05,15000000,3.1417618666666667,33,469,1
4.3328423341e-05,15000000,3.1414565333333333,34,469,1
5.6654997243e-05,15000000,3.1414146666666665,35,484,1
2.1182045643e-04,15000000,3.1409272,36,469,1
4.0187765797e-05,15000000,3.1414664,37,485,1
3.9848235252e-05,15000000,3.1414674666666667,38,484,1
1.1132774003e-04,15000000,3.1419424,39,484,1
2.2022383742e-04,15000000,3.1409008,40,469,1
3.7047108254e-05,15000000,3.1414762666666665,41,484,1
2.7030957168e-05,15000000,3.1415077333333334,42,469,1
2.4374465268e-04,15000000,3.1423584,43,469,1
2.4144947534e-05,15000000,3.1415168,44,484,1
2.4238155166e-05,15000000,3.1416688,45,469,1
1.7014806083e-05,15000000,3.1415392,46,484,1
9.2984765586e-05,15000000,3.1413005333333333,47,469,1
6.4128015399e-06,15000000,3.1416128,48,468,1
3.4678719433e-05,15000000,3.1417016,49,484,1
4.6562288517e-05,15000000,3.1417389333333334,0,235,2
1.8542693537e-05,15000000,3.1415344,1,250,2
8.6796658131e-05,15000000,3.1418653333333335,2,234,2
3.9423822070e-05,15000000,3.1414688,3,234,2
9.9605611218e-05,15000000,3.1412797333333335,4,250,2
5.8615622874e-05,15000000,3.1417768,5,250,2
6.7944387873e-05,15000000,3.1413792,6,234,2
1.1930670784e-04,15000000,3.141967466666667,7,234,2
1.7192561736e-04,15000000,3.1410525333333332,8,250,2
6.6076969874e-05,15000000,3.1413850666666665,9,251,2
1.1828811620e-04,15000000,3.1419642666666667,10,234,2
6.1832838058e-05,15000000,3.1413984,11,234,2
1.5546671091e-04,15000000,3.1420810666666665,12,250,2
1.8457313017e-04,15000000,3.1410128,13,250,2
1.3712373647e-04,15000000,3.1411618666666667,14,235,2
1.4197037174e-04,15000000,3.1420386666666666,15,234,2
1.1114964976e-04,15000000,3.141243466666667,16,250,2
1.3313425256e-04,15000000,3.1411744,17,250,2
1.2048673975e-04,15000000,3.1412141333333334,18,251,2
7.2616279031e-06,15000000,3.1416154666666665,19,234,2
1.6471059327e-04,15000000,3.1410752,20,250,2
1.1692999402e-04,15000000,3.14196,21,250,2
1.3959365792e-04,15000000,3.1420312,22,235,2
1.5750389418e-04,15000000,3.1420874666666667,23,235,2
4.6986701699e-05,15000000,3.1417402666666665,24,250,2
3.5858751345e-05,15000000,3.14148,25,234,2
3.4950009253e-04,15000000,3.1404946666666667,26,234,2
1.4323528628e-04,15000000,3.1411426666666666,27,250,2
2.4306559159e-04,15000000,3.1423562666666665,28,250,2
2.1029256897e-04,15000000,3.140932,29,250,2
9.4682418312e-05,15000000,3.1412952,30,234,2
7.3554966866e-05,15000000,3.141823733333333,31,234,2
