Error,Npoint,Pi,Nlance,tempsMilis,Nproc
2.4594327623e-04,1000000,3.14082,0,39,1
3.6308131434e-04,1000000,3.140452,1,39,1
5.2436664834e-04,1000000,3.14324,2,39,1
3.5544187707e-04,1000000,3.140476,3,38,1
6.1581536310e-06,1000000,3.141612,4,39,1
1.3348210810e-04,1000000,3.142012,5,38,1
6.1136302557e-04,1000000,3.139672,6,37,1
2.0860324124e-04,1000000,3.142248,7,38,1
2.3448412032e-04,1000000,3.140856,8,37,1
4.9890185744e-04,1000000,3.14316,9,39,1
1.5894689900e-04,1000000,3.142092,10,38,1
7.0262018460e-04,1000000,3.1438,11,38,1
6.4150468645e-04,1000000,3.143608,12,39,1
3.1724469073e-04,1000000,3.140596,13,38,1
4.4711512429e-04,1000000,3.140188,14,39,1
2.4399595443e-05,1000000,3.141516,15,38,1
5.3073284606e-04,1000000,3.14326,16,38,1
1.0674407767e-04,1000000,3.141928,17,37,1
3.4483987253e-04,1000000,3.142676,18,39,1
1.6954890354e-04,1000000,3.14106,19,37,1
5.0186442472e-04,1000000,3.140016,20,38,1
4.6901819063e-05,1000000,3.14174,21,39,1
6.6483908644e-04,1000000,3.139504,22,37,1
1.1820323357e-04,1000000,3.141964,23,38,1
2.2710267713e-05,1000000,3.141664,24,38,1
2.8945395233e-04,2000000,3.142502,0,38,2
1.6467647695e-04,2000000,3.14211,1,38,2
3.1109902460e-04,2000000,3.14257,2,38,2
7.2977430323e-04,2000000,3.1393,3,38,2
1.4281087310e-04,2000000,3.141144,4,38,2
1.5045031037e-04,2000000,3.14112,5,38,2
1.7336862218e-04,2000000,3.141048,6,38,2
6.0521735943e-04,2000000,3.143494,7,38,2
4.9189903995e-04,2000000,3.143138,8,38,2
3.4585511800e-05,2000000,3.141484,9,38,2
1.1887731582e-05,2000000,3.14163,10,38,2
1.0206720767e-04,2000000,3.141272,11,38,2
4.8425960268e-04,2000000,3.143114,12,39,2
1.4048492560e-04,2000000,3.142034,13,38,2
9.0060893381e-04,2000000,3.144422,14,38,2
1.0015734835e-04,2000000,3.141278,15,37,2
1.0143058790e-04,2000000,3.141274,16,38,2
6.8861454961e-04,2000000,3.143756,17,38,2
6.9599599281e-05,2000000,3.141374,18,38,2
4.1019117750e-04,2000000,3.140304,19,38,2
3.0129173394e-05,2000000,3.141498,20,38,2
6.1581536310e-06,2000000,3.141612,21,37,2
3.0451229528e-04,2000000,3.140636,22,38,2
4.0318836000e-04,2000000,3.140326,23,38,2
8.8698192452e-05,2000000,3.141314,24,38,2
2.4435172680e-04,4000000,3.140825,0,41,4
1.7814327047e-04,4000000,3.141033,1,40,4
2.3183986294e-04,4000000,3.142321,2,38,4
2.9741169949e-04,4000000,3.142527,3,39,4
1.6976943513e-04,4000000,3.142126,4,39,4
2.0265313171e-04,4000000,3.140956,5,38,4
3.4770466151e-04,4000000,3.142685,6,38,4
9.2420132787e-05,4000000,3.141883,7,38,4
3.2259564298e-05,4000000,3.141694,8,38,4
2.7894972609e-04,4000000,3.142469,9,38,4
2.1379397772e-04,4000000,3.140921,10,39,4
2.4520887816e-04,4000000,3.142363,11,39,4
1.1798270198e-04,4000000,3.141222,12,38,4
1.1788492368e-04,4000000,3.141963,13,39,4
2.5036215215e-05,4000000,3.141514,14,38,4
1.8832918683e-04,4000000,3.141001,15,38,4
2.7226521848e-04,4000000,3.142448,16,38,4
7.4913089047e-05,4000000,3.141828,17,39,4
1.1056379630e-04,4000000,3.14194,18,38,4
1.6763904423e-04,4000000,3.141066,19,38,4
1.0588692631e-04,4000000,3.14126,20,38,4
2.8627085347e-04,4000000,3.142492,21,38,4
1.1502013471e-04,4000000,3.141954,22,39,4
2.1534806467e-05,4000000,3.141525,23,40,4
4.9227766565e-05,4000000,3.141438,24,38,4
3.4169423615e-05,8000000,3.1417,0,77,8
3.4764328486e-04,8000000,3.1405005,1,75,8
3.6817427252e-04,8000000,3.140436,2,76,8
5.7883510136e-05,8000000,3.1417745,3,76,8
1.1189735166e-05,8000000,3.1415575,4,76,8
3.6324046929e-04,8000000,3.1404515,5,75,8
2.6233623536e-04,8000000,3.1407685,6,71,8
7.9528582396e-05,8000000,3.1418425,7,76,8
2.8855933849e-05,8000000,3.141502,8,77,8
4.5895396673e-04,8000000,3.1430345,9,77,8
1.7607425621e-04,8000000,3.1410395,10,76,8
6.2658158429e-05,8000000,3.1417895,11,78,8
9.6655939606e-05,8000000,3.141289,12,76,8
8.7804639437e-05,8000000,3.1418685,13,76,8
2.0519961080e-04,8000000,3.140948,14,73,8
4.3657343557e-05,8000000,3.1414555,15,73,8
1.9208858964e-05,8000000,3.141653,16,76,8
5.0660161053e-05,8000000,3.1414335,17,75,8
6.2915091671e-05,8000000,3.141395,18,77,8
5.3206640142e-05,8000000,3.1414255,19,76,8
3.0075395329e-04,8000000,3.1425375,20,77,8
2.1057341638e-05,8000000,3.1415265,21,77,8
